filename,size_mb,lines,modified
2804_entities_dataset_v2.json,0.139,6103,2025-09-30T11:31:08
2806_entities_dataset_v2.json,0.144,6511,2025-09-30T11:31:08
280_entities_dataset_v2.json,5.927,236832,2025-09-30T11:31:11
285_entities_dataset_v2.json,0.141,5976,2025-09-30T11:31:08
2880_entities_dataset_v2.json,0.182,8079,2025-09-30T11:31:08
2881_entities_dataset_v2.json,0.165,7397,2025-09-30T11:31:08
2886_entities_dataset_v2.json,0.161,7063,2025-09-30T11:31:08
2887_entities_dataset_v2.json,0.147,6558,2025-09-30T11:31:08
2888_entities_dataset_v2.json,0.146,6477,2025-09-30T11:31:08
2889_entities_dataset_v2.json,0.146,6304,2025-09-30T11:31:08
2892_entities_dataset_v2.json,0.139,6008,2025-09-30T11:31:08
2893_entities_dataset_v2.json,0.169,7733,2025-09-30T11:31:08
2894_entities_dataset_v2.json,0.149,6484,2025-09-30T11:31:08
2895_entities_dataset_v2.json,0.148,6467,2025-09-30T11:31:08
2896_entities_dataset_v2.json,0.147,6532,2025-09-30T11:31:08
2902_entities_dataset_v2.json,0.178,8028,2025-09-30T11:31:08
2903_entities_dataset_v2.json,0.119,5056,2025-09-30T11:31:08
2904_entities_dataset_v2.json,0.125,5349,2025-09-30T11:31:08
2910_entities_dataset_v2.json,0.175,7836,2025-09-30T11:31:08
2911_entities_dataset_v2.json,0.167,7378,2025-09-30T11:31:08
2912_entities_dataset_v2.json,0.169,7671,2025-09-30T11:31:08
2914_entities_dataset_v2.json,0.162,7170,2025-09-30T11:31:08
2_entities_dataset_v2.json,2.768,102212,2025-09-30T11:31:10
317_entities_dataset_v2.json,7.149,262151,2025-09-30T11:31:12
318_entities_dataset_v2.json,7.487,287050,2025-09-30T11:31:12
323_entities_dataset_v2.json,6.859,281236,2025-09-30T11:31:12
3241_entities_dataset_v2.json,0.182,8179,2025-09-30T11:31:08
3242_entities_dataset_v2.json,0.179,7912,2025-09-30T11:31:08
3243_entities_dataset_v2.json,0.2,9454,2025-09-30T11:31:08
3244_entities_dataset_v2.json,0.151,6274,2025-09-30T11:31:08
3245_entities_dataset_v2.json,0.155,7016,2025-09-30T11:31:08
3246_entities_dataset_v2.json,0.163,6986,2025-09-30T11:31:08
324_entities_dataset_v2.json,7.885,313250,2025-09-30T11:31:12
3266_entities_dataset_v2.json,0.148,6512,2025-09-30T11:31:08
326_entities_dataset_v2.json,3.588,142207,2025-09-30T11:31:11
3279_entities_dataset_v2.json,0.152,6762,2025-09-30T11:31:08
3282_entities_dataset_v2.json,0.16,7041,2025-09-30T11:31:08
3283_entities_dataset_v2.json,0.187,8849,2025-09-30T11:31:08
3284_entities_dataset_v2.json,0.191,8319,2025-09-30T11:31:08
3285_entities_dataset_v2.json,0.154,6535,2025-09-30T11:31:08
3286_entities_dataset_v2.json,0.157,6403,2025-09-30T11:31:08
3287_entities_dataset_v2.json,0.158,6574,2025-09-30T11:31:08
3288_entities_dataset_v2.json,0.153,6783,2025-09-30T11:31:08
3289_entities_dataset_v2.json,0.156,6467,2025-09-30T11:31:08
3290_entities_dataset_v2.json,0.149,6388,2025-09-30T11:31:08
3291_entities_dataset_v2.json,0.177,7472,2025-09-30T11:31:08
3323_entities_dataset_v2.json,0.139,5914,2025-09-30T11:31:08
3324_entities_dataset_v2.json,0.155,6296,2025-09-30T11:31:08
3325_entities_dataset_v2.json,0.164,7083,2025-09-30T11:31:08
3326_entities_dataset_v2.json,0.151,6532,2025-09-30T11:31:08
3328_entities_dataset_v2.json,0.148,6228,2025-09-30T11:31:08
3329_entities_dataset_v2.json,0.2,8770,2025-09-30T11:31:08
3330_entities_dataset_v2.json,0.143,5964,2025-09-30T11:31:08
3331_entities_dataset_v2.json,0.149,6375,2025-09-30T11:31:08
3332_entities_dataset_v2.json,0.18,7994,2025-09-30T11:31:08
3333_entities_dataset_v2.json,0.182,8066,2025-09-30T11:31:08
3360_entities_dataset_v2.json,0.187,8810,2025-09-30T11:31:08
3402_entities_dataset_v2.json,0.155,7035,2025-09-30T11:31:08
3403_entities_dataset_v2.json,0.17,7382,2025-09-30T11:31:08
3404_entities_dataset_v2.json,0.168,7222,2025-09-30T11:31:08
3405_entities_dataset_v2.json,0.147,6356,2025-09-30T11:31:08
381_entities_dataset_v2.json,1.771,66876,2025-09-30T11:31:10
3_entities_dataset_v2.json,7.027,272147,2025-09-30T11:31:12
4317_entities_dataset_v2.json,0.15,6311,2025-09-30T11:31:08
4444_entities_dataset_v2.json,0.155,6675,2025-09-30T11:31:08
4445_entities_dataset_v2.json,0.149,6636,2025-09-30T11:31:08
4448_entities_dataset_v2.json,0.171,7627,2025-09-30T11:31:08
4449_entities_dataset_v2.json,0.164,7452,2025-09-30T11:31:08
4450_entities_dataset_v2.json,0.159,6496,2025-09-30T11:31:08
4451_entities_dataset_v2.json,0.16,6762,2025-09-30T11:31:08
4452_entities_dataset_v2.json,0.157,7082,2025-09-30T11:31:08
4453_entities_dataset_v2.json,0.142,6189,2025-09-30T11:31:08
4454_entities_dataset_v2.json,0.152,6692,2025-09-30T11:31:08
4455_entities_dataset_v2.json,0.191,8714,2025-09-30T11:31:08
4543_entities_dataset_v2.json,0.177,8237,2025-09-30T11:31:08
4550_entities_dataset_v2.json,0.153,6964,2025-09-30T11:31:08
4551_entities_dataset_v2.json,0.156,6946,2025-09-30T11:31:08
4552_entities_dataset_v2.json,0.159,6947,2025-09-30T11:31:08
4576_entities_dataset_v2.json,0.157,7113,2025-09-30T11:31:08
4577_entities_dataset_v2.json,0.168,7862,2025-09-30T11:31:08
4578_entities_dataset_v2.json,0.143,6376,2025-09-30T11:31:08
4579_entities_dataset_v2.json,0.149,6717,2025-09-30T11:31:08
4593_entities_dataset_v2.json,0.156,6999,2025-09-30T11:31:08
4594_entities_dataset_v2.json,0.157,6989,2025-09-30T11:31:08
4595_entities_dataset_v2.json,0.169,7386,2025-09-30T11:31:08
4596_entities_dataset_v2.json,0.167,7767,2025-09-30T11:31:08
4597_entities_dataset_v2.json,0.151,6743,2025-09-30T11:31:08
4598_entities_dataset_v2.json,0.145,6290,2025-09-30T11:31:08
4599_entities_dataset_v2.json,0.157,7082,2025-09-30T11:31:08
4600_entities_dataset_v2.json,0.144,6302,2025-09-30T11:31:08
4601_entities_dataset_v2.json,0.132,5609,2025-09-30T11:31:08
4602_entities_dataset_v2.json,0.149,6339,2025-09-30T11:31:08
4603_entities_dataset_v2.json,0.139,5791,2025-09-30T11:31:08
4604_entities_dataset_v2.json,0.173,7522,2025-09-30T11:31:08
4605_entities_dataset_v2.json,0.166,7369,2025-09-30T11:31:08
4606_entities_dataset_v2.json,0.14,5941,2025-09-30T11:31:08
4607_entities_dataset_v2.json,0.154,6740,2025-09-30T11:31:08
4608_entities_dataset_v2.json,0.156,6846,2025-09-30T11:31:08
4609_entities_dataset_v2.json,0.139,6133,2025-09-30T11:31:08
4610_entities_dataset_v2.json,0.152,6779,2025-09-30T11:31:08
4612_entities_dataset_v2.json,0.148,6608,2025-09-30T11:31:08
4613_entities_dataset_v2.json,0.13,5466,2025-09-30T11:31:08
4614_entities_dataset_v2.json,0.17,7706,2025-09-30T11:31:08
4616_entities_dataset_v2.json,0.153,6718,2025-09-30T11:31:08
4617_entities_dataset_v2.json,0.156,6600,2025-09-30T11:31:08
4618_entities_dataset_v2.json,0.156,6994,2025-09-30T11:31:08
4621_entities_dataset_v2.json,0.123,5193,2025-09-30T11:31:08
4622_entities_dataset_v2.json,0.145,6325,2025-09-30T11:31:08
4623_entities_dataset_v2.json,0.136,5895,2025-09-30T11:31:08
4624_entities_dataset_v2.json,0.16,7126,2025-09-30T11:31:08
4625_entities_dataset_v2.json,0.152,6725,2025-09-30T11:31:08
4626_entities_dataset_v2.json,0.146,6490,2025-09-30T11:31:08
4628_entities_dataset_v2.json,0.141,5787,2025-09-30T11:31:08
4629_entities_dataset_v2.json,0.176,8037,2025-09-30T11:31:08
462_entities_dataset_v2.json,3.026,112153,2025-09-30T11:31:10
4630_entities_dataset_v2.json,0.149,6642,2025-09-30T11:31:08
4632_entities_dataset_v2.json,0.158,7202,2025-09-30T11:31:08
4633_entities_dataset_v2.json,0.151,6931,2025-09-30T11:31:08
4639_entities_dataset_v2.json,0.144,6470,2025-09-30T11:31:08
463_entities_dataset_v2.json,6.524,259553,2025-09-30T11:31:12
4645_entities_dataset_v2.json,0.17,7611,2025-09-30T11:31:08
464_entities_dataset_v2.json,7.076,285280,2025-09-30T11:31:12
4659_entities_dataset_v2.json,0.141,5894,2025-09-30T11:31:08
465_entities_dataset_v2.json,0.14,5948,2025-09-30T11:31:08
4661_entities_dataset_v2.json,0.174,7846,2025-09-30T11:31:08
4665_entities_dataset_v2.json,0.134,5675,2025-09-30T11:31:08
4666_entities_dataset_v2.json,0.151,6662,2025-09-30T11:31:08
4667_entities_dataset_v2.json,0.168,7428,2025-09-30T11:31:08
466_entities_dataset_v2.json,3.591,142486,2025-09-30T11:31:11
4673_entities_dataset_v2.json,0.161,7262,2025-09-30T11:31:08
4675_entities_dataset_v2.json,0.161,6962,2025-09-30T11:31:08
4677_entities_dataset_v2.json,0.129,5396,2025-09-30T11:31:08
4678_entities_dataset_v2.json,0.145,6206,2025-09-30T11:31:08
467_entities_dataset_v2.json,0.324,13695,2025-09-30T11:31:09
4680_entities_dataset_v2.json,0.139,6126,2025-09-30T11:31:08
4681_entities_dataset_v2.json,0.158,6758,2025-09-30T11:31:08
4682_entities_dataset_v2.json,0.157,7015,2025-09-30T11:31:08
4683_entities_dataset_v2.json,0.157,7046,2025-09-30T11:31:08
4685_entities_dataset_v2.json,0.135,5854,2025-09-30T11:31:08
468_entities_dataset_v2.json,7.099,285528,2025-09-30T11:31:12
4707_entities_dataset_v2.json,0.156,6862,2025-09-30T11:31:08
4708_entities_dataset_v2.json,0.162,7212,2025-09-30T11:31:08
4710_entities_dataset_v2.json,0.151,6493,2025-09-30T11:31:08
4711_entities_dataset_v2.json,0.148,6258,2025-09-30T11:31:08
4713_entities_dataset_v2.json,0.143,6110,2025-09-30T11:31:08
4714_entities_dataset_v2.json,0.148,6402,2025-09-30T11:31:08
4715_entities_dataset_v2.json,0.158,7288,2025-09-30T11:31:08
4717_entities_dataset_v2.json,0.155,6827,2025-09-30T11:31:08
4718_entities_dataset_v2.json,0.158,6888,2025-09-30T11:31:08
4719_entities_dataset_v2.json,0.153,6847,2025-09-30T11:31:08
4721_entities_dataset_v2.json,0.14,5979,2025-09-30T11:31:08
4722_entities_dataset_v2.json,0.163,7231,2025-09-30T11:31:08
4723_entities_dataset_v2.json,0.138,6039,2025-09-30T11:31:08
4725_entities_dataset_v2.json,0.147,6459,2025-09-30T11:31:08
4726_entities_dataset_v2.json,0.15,6571,2025-09-30T11:31:08
4727_entities_dataset_v2.json,0.144,6381,2025-09-30T11:31:08
4729_entities_dataset_v2.json,0.144,6094,2025-09-30T11:31:08
4730_entities_dataset_v2.json,0.494,17739,2025-09-30T11:31:09
4731_entities_dataset_v2.json,0.155,6899,2025-09-30T11:31:08
4732_entities_dataset_v2.json,0.129,5450,2025-09-30T11:31:08
4733_entities_dataset_v2.json,0.152,6322,2025-09-30T11:31:08
4734_entities_dataset_v2.json,0.137,5834,2025-09-30T11:31:08
4735_entities_dataset_v2.json,0.144,6345,2025-09-30T11:31:08
4736_entities_dataset_v2.json,0.153,6651,2025-09-30T11:31:08
4750_entities_dataset_v2.json,0.144,6216,2025-09-30T11:31:08
4759_entities_dataset_v2.json,0.14,6166,2025-09-30T11:31:08
4764_entities_dataset_v2.json,0.14,5820,2025-09-30T11:31:08
4765_entities_dataset_v2.json,0.139,6062,2025-09-30T11:31:08
4767_entities_dataset_v2.json,0.141,6280,2025-09-30T11:31:08
483_entities_dataset_v2.json,10.608,393479,2025-09-30T11:31:12
487_entities_dataset_v2.json,0.346,13831,2025-09-30T11:31:09
4930_entities_dataset_v2.json,0.158,7146,2025-09-30T11:31:08
4968_entities_dataset_v2.json,0.155,6955,2025-09-30T11:31:08
4969_entities_dataset_v2.json,0.15,6257,2025-09-30T11:31:08
4970_entities_dataset_v2.json,0.151,6329,2025-09-30T11:31:08
4971_entities_dataset_v2.json,0.157,6891,2025-09-30T11:31:08
4974_entities_dataset_v2.json,0.136,5852,2025-09-30T11:31:08
4975_entities_dataset_v2.json,0.15,6833,2025-09-30T11:31:08
4977_entities_dataset_v2.json,0.142,6146,2025-09-30T11:31:08
4978_entities_dataset_v2.json,0.14,6022,2025-09-30T11:31:08
4984_entities_dataset_v2.json,0.145,6361,2025-09-30T11:31:08
4_entities_dataset_v2.json,7.266,275123,2025-09-30T11:31:12
504_entities_dataset_v2.json,1.216,47050,2025-09-30T11:31:09
508_entities_dataset_v2.json,5.542,207004,2025-09-30T11:31:11
509_entities_dataset_v2.json,7.054,270583,2025-09-30T11:31:12
5102_entities_dataset_v2.json,0.153,6432,2025-09-30T11:31:08
5103_entities_dataset_v2.json,0.138,6046,2025-09-30T11:31:08
510_entities_dataset_v2.json,4.192,154800,2025-09-30T11:31:11
5128_entities_dataset_v2.json,0.156,6664,2025-09-30T11:31:08
512_entities_dataset_v2.json,1.779,70925,2025-09-30T11:31:10
5155_entities_dataset_v2.json,0.151,6803,2025-09-30T11:31:08
515_entities_dataset_v2.json,3.173,126537,2025-09-30T11:31:10
5163_entities_dataset_v2.json,0.137,5666,2025-09-30T11:31:08
516_entities_dataset_v2.json,1.27,48791,2025-09-30T11:31:09
535_entities_dataset_v2.json,5.359,212611,2025-09-30T11:31:11
536_entities_dataset_v2.json,6.889,273881,2025-09-30T11:31:12
538_entities_dataset_v2.json,1.881,73738,2025-09-30T11:31:10
5989_entities_dataset_v2.json,0.128,5658,2025-09-30T11:31:08
6091_entities_dataset_v2.json,0.134,5652,2025-09-30T11:31:08
6128_entities_dataset_v2.json,0.139,5745,2025-09-30T11:31:08
6129_entities_dataset_v2.json,0.131,5495,2025-09-30T11:31:08
6145_entities_dataset_v2.json,0.137,5926,2025-09-30T11:31:08
6173_entities_dataset_v2.json,0.143,6262,2025-09-30T11:31:08
6181_entities_dataset_v2.json,0.122,4993,2025-09-30T11:31:08
6200_entities_dataset_v2.json,6.416,265756,2025-09-30T11:31:12
800_entities_dataset_v2.json,0.174,7346,2025-09-30T11:31:08
9_entities_dataset_v2.json,0.455,17880,2025-09-30T11:31:09
