title,group,product,entities,random_key,image_url,brand,persian_name
نیم ست Love,نامشخص,نیم ست,"[{'name': 'طرح', 'values': ['Love']}, {'name': 'نوع کلی', 'values': ['نیم ست']}]",2a683ea1-4a82-498f-8f31-e68d97f57325,https://image.torob.com/base/images/h7/du/h7dupNu_VzXiahlx.jpg,,
ست تیشرت خانوادگی سه نفره,خانوادگی سه نفره,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['ست تیشرت']}, {'name': 'نوع کلی', 'values': ['ست خانوادگی سه نفره']}]",0c0c818f-f164-429d-ad81-e3e823406031,https://image.torob.com/base/images/WR/mY/WRmYteZsvCwM5ZhJ.jpg,,
تیشرت ست چاکرتیم حاج خانم,زنانه و مردانه,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['ست تیشرت']}, {'name': 'طرح', 'values': ['چاکرتیم حاج خانم']}]",9d08f081-13fc-4b75-9290-361ca81f29dd,https://image.torob.com/base/images/hY/VI/hYVItXpa55AqgFdV.webp,,
تیشرت ست یلدایی انار هندوانه دیوان حافظ,زنانه و مردانه,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['ست تیشرت']}, {'name': 'مناسبت/فصل', 'values': ['یلدایی']}, {'name': 'طرح', 'values': ['انار', 'هندوانه', 'دیوان حافظ']}]",af58b445-1ed4-4a2e-ac51-9f5a79a8b037,https://image.torob.com/base/images/Vz/3P/Vz3Pn-d28YNXBSdo.webp,,
تیشرت ست شب یلدا شد و میلاد خوش ایزد مهر,زنانه و مردانه,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['ست تیشرت']}, {'name': 'مناسبت/فصل', 'values': ['شب یلدا']}, {'name': 'طرح', 'values': ['میلاد خوش ایزد مهر']}]",839020f3-b41b-4985-a30d-34586cc18591,https://image.torob.com/base/images/a_/6a/a_6aX20baAdaPzVp.webp,,
تیشرت ست عاشقانه کدe1,زنانه و مردانه,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['ست تیشرت']}, {'name': 'نوع کلی', 'values': ['ست عاشقانه']}]",fecf73c2-fc6b-4a0a-865b-8e100d28eda6,https://image.torob.com/base/images/U-/7A/U-7Ak5vNBz43OhCD.jpg,,
ست زوج سوییشرت مکلون تو کرکی و چرم زنانه مردانه ارسال رایگان،ست هودی زن و شوهر، سوییشرت ست، هودی مردانه هودی زنانه کاپل,زنانه و مردانه,ست سوییشرت,"[{'name': 'نوع پوشاک', 'values': ['ست سوییشرت', 'ست هودی']}, {'name': 'جنس', 'values': ['مکلون تو کرکی', 'چرم']}, {'name': 'ویژگی ها', 'values': ['تو کرکی']}, {'name': 'نوع کلی', 'values': ['ست زوج', 'ست هودی زن و شوهر', 'سوییشرت ست', 'کاپل']}]",6b0c19e2-4cfd-4a4b-aaa1-45ed907081ef,https://image.torob.com/base/images/_6/uG/_6uGzfRfIv_aBJEi.jpg,,
ست تیشرت زن و شوهری KQ,زنانه و مردانه,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['ست تیشرت']}, {'name': 'برند', 'values': ['KQ']}, {'name': 'نوع کلی', 'values': ['ست زن و شوهری']}]",b6c14d51-cf4d-48c2-a4b0-7b1ce1e2613a,https://image.torob.com/base/images/S7/nq/S7nqNgb6ANfRIcZl.jpg,,
تیشرت ست عاشقانه ولنتاین کدe17,زنانه و مردانه,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['ست تیشرت']}, {'name': 'نوع کلی', 'values': ['ست عاشقانه']}, {'name': 'مناسبت/فصل', 'values': ['ولنتاین']}]",4a2241c0-94c0-48f7-912e-405568d6f69d,https://image.torob.com/base/images/zC/R0/zCR0bMzC4NExw84W.jpg,,
تیشرت ست برای همیشه,نامشخص,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'نوع کلی', 'values': ['ست برای همیشه']}]",c10cf8a2-030a-447d-b6c5-48e86549375b,https://image.torob.com/base/images/9s/WC/9sWC-Yxp7SxO8Vp6.webp,,
ست کت شلوار پولکی زنانه,زنانه,ست کت شلوار,"[{'name': 'نوع پوشاک', 'values': ['ست کت شلوار']}, {'name': 'طرح', 'values': ['پولکی']}, {'name': 'نوع کلی', 'values': ['ست زنانه']}]",c0679e17-40cb-48ec-a23c-c72eec3ba09b,https://image.torob.com/base/images/tD/vB/tDvB1K3UuCtNS8SE.jpg,,
ست سه نفره اسپان طرح عشق,نامشخص,ست اسپان,"[{'name': 'نوع پوشاک', 'values': ['ست اسپان']}, {'name': 'طرح', 'values': ['عشق']}, {'name': 'نوع کلی', 'values': ['ست سه نفره']}]",93a498ca-e52a-491c-8a51-50707977a952,https://image.torob.com/base/images/gU/7I/gU7IL2Xg32zMHFZC.jpg,,
بلوز و شلوار اسپرت مدل Happy Yalda سایز ۴۰ و ۴۵,نامشخص,بلوز و شلوار اسپرت,"[{'name': 'نوع پوشاک', 'values': ['بلوز و شلوار']}, {'name': 'طرح', 'values': ['Happy Yalda']}, {'name': 'سایز', 'values': ['۴۰', '۴۵']}, {'name': 'مناسبت/فصل', 'values': ['شب یلدا']}, {'name': 'نوع کلی', 'values': ['ست اسپرت']}]",3aabfe5f-4341-40b9-83c1-1db24f5ae6e3,https://image.torob.com/base/images/hX/0E/hX0EahOl9jqfdiJ1.jpg,,
تیشرت پشت چاپ ست زن و شوهری,زن و شوهر,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'طرح', 'values': ['پشت چاپ']}, {'name': 'نوع کلی', 'values': ['ست زن و شوهری']}]",422e5442-215a-4b00-98d2-c59a15600c0f,https://image.torob.com/base/images/d6/Q1/d6Q1FMt3FklrPMAE.jpg,,
تیشرت ست طرح شب یلدا با اقامون / خانومو قشنقه,نامشخص,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'طرح', 'values': ['شب یلدا', 'با اقامون / خانومو قشنقه']}, {'name': 'مناسبت/فصل', 'values': ['شب یلدا']}, {'name': 'نوع کلی', 'values': ['ست']}]",0ee20792-45b3-4536-9424-f4c7e6e3d18f,https://image.torob.com/base/images/fF/oJ/fFoJ-hddEZaZzpWv.webp,,
ست تی شرت دو نفره عاشقانه طرح «من و تو باهم قشنگترین ترکیب دنیا هستیم»,نامشخص,تی شرت ست,"[{'name': 'نوع پوشاک', 'values': ['تی شرت']}, {'name': 'طرح', 'values': ['من و تو باهم قشنگترین ترکیب دنیا هستیم']}, {'name': 'نوع کلی', 'values': ['ست دو نفره عاشقانه']}]",2ede484a-a18e-491e-8269-4b5e26b4670e,https://image.torob.com/base/images/tb/he/tbhedWdThLn6ZIqD.jpg,,
تیشرت ست آدم برفی شب یلدا,نامشخص,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'طرح', 'values': ['آدم برفی']}, {'name': 'مناسبت/فصل', 'values': ['شب یلدا']}, {'name': 'نوع کلی', 'values': ['ست']}]",85f038e3-9257-4af9-90d3-f245e79e582d,https://image.torob.com/base/images/Cz/NX/CzNXqEpyZmKu4-JU.webp,,
ست دو نفره تیشرت شب یلدا طرح T022,نامشخص,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'طرح', 'values': ['T022']}, {'name': 'مناسبت/فصل', 'values': ['شب یلدا']}, {'name': 'نوع کلی', 'values': ['ست دو نفره']}]",13c4a9b5-1ef6-4237-b107-a8c75cfed386,https://image.torob.com/base/images/6U/AN/6UANYoWktIMJgjYn.jpg,,
لباس ست زنانه هاکی اورجینال 1526kcaltkm0001,زنانه,لباس ست,"[{'name': 'نوع پوشاک', 'values': ['لباس هاکی']}, {'name': 'برند', 'values': ['اورجینال']}, {'name': 'نوع کلی', 'values': ['ست زنانه']}]",bf3babe4-d974-4fb4-89b6-e8a77f36605f,https://image.torob.com/base/images/cz/F0/czF0P9MgNcdrEXYe.jpg,,
تیشرت دو عددی ست زوج مونالیزا جنس پنبه,زوج,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'طرح', 'values': ['مونالیزا']}, {'name': 'جنس', 'values': ['پنبه']}, {'name': 'نوع کلی', 'values': ['ست زوج']}]",56bda2d5-6297-4697-8b37-dd75dfacf00d,https://image.torob.com/base/images/Vo/mb/VombyxV43hyvNYjf.jpg,,
ست دو نفره تیشرت شب یلدا طرح T305,نامشخص,تیشرت ست,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'طرح', 'values': ['T305']}, {'name': 'مناسبت/فصل', 'values': ['شب یلدا']}, {'name': 'نوع کلی', 'values': ['ست دو نفره']}]",97baa20a-da0c-4833-bc2a-761854a84a36,https://image.torob.com/base/images/5q/3o/5q3oqrzn-knyHgTp.jpg,,
ست بافت زن و مرد لوزی خاص و زیبا,زن و مرد,ست بافت,"[{'name': 'نوع پوشاک', 'values': ['ست بافت']}, {'name': 'طرح', 'values': ['لوزی']}, {'name': 'نوع کلی', 'values': ['ست زن و مرد']}]",e2b4ce60-05e3-4380-8335-fd805ec3a263,https://image.torob.com/base/images/ym/rZ/ymrZIsZKZLTFmXmV.jpg,,
ست هودی شلوار زن و مرد ست هودی شلوار زوج هودی شلوار زنانه,زن و مرد,ست هودی شلوار,"[{'name': 'نوع پوشاک', 'values': ['ست هودی شلوار']}, {'name': 'نوع کلی', 'values': ['ست زن و مرد', 'ست زوج', 'ست زنانه']}]",fe4170a2-8db8-43fd-9707-03831bcbd61d,https://image.torob.com/base/images/e7/Qr/e7Qr83w8ayyrCl-L.jpg,,
ست تیشرت سفید شب یلدا,نامشخص,ست تیشرت,"[{'name': 'نوع پوشاک', 'values': ['ست تیشرت']}, {'name': 'رنگ', 'values': ['سفید']}, {'name': 'مناسبت/فصل', 'values': ['شب یلدا']}, {'name': 'نوع کلی', 'values': ['ست']}]",24e00b6e-1838-45ca-929e-5e2d50ec9479,https://image.torob.com/base/images/mB/rw/mBrwM6_aH16J0tn4.jpg,,
ست تیشرت زن و شوهری با چاپ اسم دلخواه,زن و شوهر,ست تیشرت,"[{'name': 'نوع پوشاک', 'values': ['ست تیشرت']}, {'name': 'طرح', 'values': ['چاپ اسم دلخواه']}, {'name': 'نوع کلی', 'values': ['ست زن و شوهری']}]",d26de72c-3238-4dad-8ea1-3d16e345aa72,https://image.torob.com/base/images/Zl/gR/ZlgRvYifUPWq3dGc.webp,,
ست دو نفره تیشرت شب یلدا طرح T304,زنانه و مردانه,ست تیشرت,"[{'name': 'نوع پوشاک', 'values': ['ست تیشرت']}, {'name': 'مناسبت/فصل', 'values': ['شب یلدا']}, {'name': 'نوع کلی', 'values': ['ست دو نفره']}]",1e29bab4-8f9b-4f74-853e-0c13dc9d73eb,https://image.torob.com/base/images/BF/g5/BFg50olITD353-0U.jpg,,
ست هودی مردانه و زنانه 27 مدل VAL کد MR63 رنگ طوسی,مردانه و زنانه,ست هودی,"[{'name': 'نوع پوشاک', 'values': ['ست هودی']}, {'name': 'رنگ', 'values': ['طوسی']}, {'name': 'برند', 'values': ['VAL']}, {'name': 'نوع کلی', 'values': ['مردانه و زنانه']}]",c0ee121e-07bf-4b83-ae44-727aa932099e,https://image.torob.com/base/images/bB/5p/bB5pGoFfDyOMQbvJ.jpg,,
ست تیشرت دو نفره قلب کامل کد 15,زنانه و مردانه,ست تیشرت,"[{'name': 'نوع پوشاک', 'values': ['ست تیشرت']}, {'name': 'طرح', 'values': ['قلب کامل']}, {'name': 'نوع کلی', 'values': ['ست دو نفره']}]",956cb64e-aaf9-4380-818a-8c73eed0a34e,https://image.torob.com/base/images/0Z/M5/0ZM5thzfqtdITWFN.jpg,,
نیم ست شنی کد 15220042,زنانه و مردانه,نیم ست,"[{'name': 'نوع کلی', 'values': ['نیم ست']}]",c2d49ffd-b387-4741-bb0d-143fdd82a24f,https://image.torob.com/base/images/mw/qc/mwqc86o3CH8ZIyTz.jpg,,
هودی شکت هانی و ژابیز 21(ست زنانه و مردانه),زنانه و مردانه,هودی شکت,"[{'name': 'نوع پوشاک', 'values': ['هودی شکت']}, {'name': 'نوع کلی', 'values': ['ست زنانه و مردانه']}]",64602218-6d93-4d87-b976-bbaabacd8e23,https://image.torob.com/base/images/cp/02/cp02c4D5i-PUTZIH.jpg,,
تیشرت ست زن و شوهری شب یلدا,زن و شوهر,تیشرت,"[{'name': 'نوع پوشاک', 'values': ['تیشرت']}, {'name': 'مناسبت/فصل', 'values': ['شب یلدا']}, {'name': 'نوع کلی', 'values': ['ست زن و شوهری']}]",b8c360fe-3127-48e9-ab40-cc95c74c60f1,https://image.torob.com/base/images/8W/kF/8WkF_t9z16a8bpnZ.jpg,,
